#angDist  RA_ICRS    DE_ICRS   umag   gmag   rmag   imag   zmag   e_umag e_gmag e_rmag e_imag  e_zm source_id          
0.001065 177.788779 47.482128 17.486 17.179 17.106 17.193 17.138 0.010  0.004  0.005  0.006   0.01 786547673134349568 
0.014189 177.788781 47.482124 17.481 17.178 17.103 17.191 17.125 0.010  0.004  0.005  0.006   0.01 786547673134349568 
0.048460 177.788760 47.482133 17.598 17.216 17.145 17.233 17.190 0.010  0.005  0.005  0.006   0.01 786547673134349568 
0.048460 177.788760 47.482133 17.599 17.216 17.145 17.233 17.190 0.010  0.005  0.005  0.006   0.01 786547673134349568 
0.050217 177.788762 47.482136 17.592 17.215 17.145 17.231 17.176 0.010  0.005  0.005  0.006   0.01 786547673134349568 
0.028479 178.303146 46.598180 18.517 18.220 17.860 17.857 17.888 0.015  0.006  0.006  0.007   0.02 774388375905150208 
0.067176 178.303161 46.598186 18.537 18.222 17.862 17.863 17.909 0.016  0.006  0.006  0.007   0.01 774388375905150208 
0.068938 178.303161 46.598187 18.552 18.228 17.874 17.886 17.961 0.016  0.006  0.006  0.007   0.01 774388375905150208 
0.081347 177.882771 46.521915 19.124 18.834 18.632 18.555 18.405 0.021  0.008  0.009  0.010   0.02 774392980110257408 
0.095846 177.882791 46.521921 19.143 18.835 18.635 18.558 18.400 0.022  0.008  0.009  0.010   0.02 774392980110257408 
0.062527 178.896688 47.730393 19.340 19.025 18.546 18.359 18.225 0.026  0.009  0.009  0.010   0.02 786595463234607232 
0.070273 178.896690 47.730395 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  786595463234607232 
0.072787 178.896682 47.730397 19.327 19.024 18.541 18.354 18.243 0.027  0.009  0.009  0.010   0.02 786595463234607232 
0.073447 178.896698 47.730394 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  786595463234607232 
0.012005 176.947833 46.363366 18.109 17.766 17.312 16.850 16.812 0.015  0.006  0.006  0.005   0.01 774413630313309184 
0.018982 176.947830 46.363365 18.107 17.772 17.319 16.856 16.801 0.015  0.006  0.006  0.005   0.01 774413630313309184 
0.017588 173.621924 40.890928 20.290 18.782 18.655 18.754 18.784 0.045  0.009  0.009  0.012   0.03 767721972481626112 
0.046604 173.621912 40.890933 20.228 18.772 18.642 18.745 18.773 0.043  0.009  0.009  0.012   0.03 767721972481626112 
0.022514 178.243803 47.179356 20.470 19.510 19.298 19.195 19.008 0.050  0.012  0.013  0.020   0.04 774476199396491520 
0.024301 178.243804 47.179355 20.474 19.519 19.305 19.211 19.041 0.049  0.012  0.014  0.016   0.04 774476199396491520 
0.012425 174.433790 40.342325 19.123 18.870 18.807 18.736 18.722 0.021  0.008  0.009  0.012   0.03 767723789252342656 
0.029520 174.433780 40.342317 19.143 18.873 18.813 18.741 18.721 0.021  0.008  0.009  0.012   0.03 767723789252342656 
0.067465 178.799744 46.984375 19.722 19.198 18.722 18.604 18.605 0.031  0.010  0.009  0.011   0.03 774499155998006272 
0.086574 178.799749 46.984370 19.692 19.190 18.719 18.606 18.569 0.031  0.010  0.009  0.011   0.03 774499155998006272 
0.051248 179.314694 47.052672 18.704 18.062 17.930 17.929 17.687 0.017  0.006  0.006  0.007   0.01 774514480441260288 
0.055861 179.314696 47.052668 18.687 18.058 17.927 17.926 17.672 0.017  0.006  0.006  0.007   0.01 774514480441260288 
0.019363 179.528272 47.334850 17.162 15.328 14.537 14.142 13.840 0.015  0.003  0.002  0.002   0.00 774533996772622464 
0.025641 179.528274 47.334852 17.189 15.342 14.549 14.158 13.863 0.015  0.003  0.002  0.002   0.00 774533996772622464 
0.025693 179.528274 47.334852 17.167 15.319 14.527 14.134 13.833 0.015  0.003  0.002  0.002   0.00 774533996772622464 
0.009162 173.997290 40.830950 18.650 18.420 18.074 17.747 17.741 0.018  0.007  0.007  0.007   0.01 767798556043224960 
0.027278 173.997293 40.830957 18.644 18.417 18.074 17.745 17.739 0.017  0.007  0.007  0.007   0.02 767798556043224960 
0.036630 173.997286 40.830958 18.638 18.416 18.067 17.732 17.725 0.018  0.007  0.007  0.007   0.01 767798556043224960 
0.050767 173.997290 40.830963 18.628 18.408 18.055 17.724 17.716 0.018  0.007  0.007  0.007   0.02 767798556043224960 
0.030238 178.744529 47.202738 19.110 18.950 18.774 18.573 18.464 0.021  0.009  0.010  0.011   0.03 774552890332703872 
0.030238 178.744529 47.202738 19.110 18.950 18.774 18.573 18.463 0.021  0.009  0.010  0.011   0.03 774552890332703872 
0.030942 178.744530 47.202738 19.117 18.954 18.772 18.587 18.481 0.021  0.009  0.010  0.011   0.03 774552890332703872 
0.030942 178.744530 47.202738 19.116 18.954 18.771 18.586 18.480 0.021  0.009  0.010  0.011   0.03 774552890332703872 
