Filename,Object_name,RA,Dec,GAIA_ID,GAIA_Gmag,Type,Subtype,Method,Chi2,z,z_std,AB,AB_std,compoM_AB,compoM_AB_std,best_compoM_extinct_params,best_compoM_Chi2,LOF_val,SDSS-u,err_SDSS-u,SDSS-g,err_SDSS-g,SDSS-r,err_SDSS-r,SDSS-i,err_SDSS-i,SDSS-z,err_SDSS-z,SDSS_phot_method,UKIDSS_Y,err_UKIDSS_Y,UKIDSS_J,err_UKIDSS_J,UKIDSS_H,err_UKIDSS_H,UKIDSS_K,err_UKIDSS_K,UKIDSS_phot_method,WISE_W1,err_WISE_W1,WISE_W2,err_WISE_W2,WISE_W3,err_WISE_W3,WISE_W4,err_WISE_W4,WISE_phot_method
spec-2243-53794-0158.fits,spec-2243-53794-0158,199.03724997827777,26.724153386901843,1.4598710318617114e+18,18.901643753051758,QSO,QSO,xPCA,4105.266802779806,0.4127652371278552,0.00011697559661053567,,,0.3238374192874383,0.008199930259817939,MW,4906.3891555067285,-1.6287771940503488,19.302,0.026,19.099,0.01,19.057,0.011,19.055,0.014,18.984,0.04,Surveyphotometry.dat crossmatch,99.999,99.999,18.024,0.041,17.446,0.039,16.545,0.036,Surveyphotometry.dat crossmatch,15.229,0.033,14.267,0.042,11.683,0.216,8.949,0.444,Surveyphotometry.dat crossmatch
spec-3985-55320-0412.fits,SDSS J133102.95+324716.1,202.76232000855404,32.787818490738246,1.469108583099993e+18,18.371522903442383,QSO,QSO-MIDZ,xPCA,26021.52189987617,1.786625053959083,0.0002334038106785298,,,0.7525879775971274,0.0017800298582645868,SMC,43734.83386334099,-1.569731751190669,19.856,0.033,19.3,0.011,18.606,0.009,18.204,0.008,18.165,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,16.873,0.018,16.328,0.027,15.776,0.023,Surveyphotometry.dat crossmatch,15.036,0.03,14.186,0.037,11.213,0.133,8.289,0.263,Surveyphotometry.dat crossmatch
spec-2029-53819-0076.fits,SDSS J131000.33+311557.8,197.50138763201636,31.266068358287917,1.466095057949594e+18,18.342676162719727,QSO,QSO,xPCA,6422.655207767689,1.8547128199307374,0.00020589341266492132,,,0.03096368921647497,0.005347364244687094,MW,6609.374030258235,-1.1884994058519276,18.57,0.017,18.623,0.008,18.582,0.009,18.248,0.009,18.192,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.579,0.024,17.096,0.034,16.479,0.039,Surveyphotometry.dat crossmatch,15.329,0.034,14.276,0.041,11.294,0.119,8.808,0.353,Surveyphotometry.dat crossmatch
spec-2239-53726-0007.fits,SDSS J125319.58+283334.3,193.3315998452293,28.5595483102059,1.4639856792515474e+18,18.70804214477539,BAL_QSO,QSO-MIDZ,xPCA,11994.192732483145,1.8323351835937132,0.0009578246944671159,,,0.7319437776829655,0.00425215766923237,SMC,13204.359382595101,-2.45522160595326,19.953,0.044,19.214,0.011,18.734,0.01,18.317,0.01,18.158,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.121,0.027,16.741,0.022,99.999,99.999,Surveyphotometry.dat crossmatch,14.788,0.034,13.519,0.033,10.1,0.062,7.979,0.275,Surveyphotometry.dat crossmatch
spec-2011-53499-0388.fits,SDSS J125659.48+301439.0,194.2478323525268,30.244189886401628,1.4653679715253123e+18,18.731971740722656,QSO,QSO,xPCA,15093.270853745646,2.933877554443192,0.0003238421462111657,,,0.2871425688659321,0.0024556928442959203,SMC,22895.832313921124,-2.2776296845126254,21.001,0.083,19.221,0.011,18.84,0.01,18.622,0.012,18.532,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.246,0.022,16.644,0.024,16.147,0.028,Surveyphotometry.dat crossmatch,15.334,0.039,14.329,0.045,10.366,0.072,8.034,0.226,Surveyphotometry.dat crossmatch
spec-10252-58485-0544.fits,SDSS J125518.07+335904.5,193.8252589191084,33.98460170379222,1.515592597530752e+18,18.822935104370117,QSO,QSO-MIDZ,xPCA,4738.113917023051,1.1332905031651763,0.0002298736099929695,,,0.45807858867090995,0.003770707404004675,SMC,7772.025095089336,-1.2098558212352202,20.214,0.044,20.147,0.017,19.665,0.016,19.707,0.021,19.79,0.06,Surveyphotometry.dat crossmatch,99.999,99.999,18.151,0.066,17.452,0.061,16.898,0.063,Surveyphotometry.dat crossmatch,15.837,0.046,14.681,0.055,11.403,0.196,8.072,0.236,Surveyphotometry.dat crossmatch
spec-2243-53794-0164.fits,SDSS J131531.76+262132.3,198.8823495105497,26.358964047108294,1.4477562691497073e+18,18.635499954223633,QSO,QSO,xPCA,3880.132886774475,1.5279147582568444,0.0003672427983734356,,,0.05479418271607576,0.002611645828142252,SMC,5461.471566384798,-1.1542277657693343,19.126,0.023,18.765,0.008,18.649,0.009,18.487,0.011,18.541,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.465,0.026,16.873,0.025,16.46,0.036,Surveyphotometry.dat crossmatch,15.287,0.035,14.055,0.038,10.87,0.106,8.227,0.248,Surveyphotometry.dat crossmatch
spec-6495-56339-0512.fits,SDSS J135852.46+295413.1,209.7186167253601,29.903670235830837,1.4537663070817377e+18,17.4118709564209,QSO,QSO,xPCA,44576.348074806345,0.11396103497139687,1.2475246248443279e-05,,,2.301103690378832,0.0020692898834437923,SMC,60614.02191771485,-1.6664881425659714,18.655,0.022,17.361,0.005,16.561,0.004,15.943,0.004,15.742,0.0,Surveyphotometry.dat crossmatch,99.999,99.999,14.738,0.004,13.918,0.003,12.826,0.002,Surveyphotometry.dat crossmatch,11.426,0.023,10.446,0.019,7.591,0.016,5.128,0.028,Surveyphotometry.dat crossmatch
spec-2029-53819-0352.fits,SDSS J125959.61+320205.9,194.99837803980705,32.03497285029617,1.4671380134481393e+18,18.996688842773438,QSO,QSO-MIDZ,xPCA,5106.025657539058,1.4352861565073507,0.00034463086479606393,,,3.3158134305757633e-09,7.219920624219599e-05,MW,7168.906374706004,-1.161921031813478,19.103,0.023,18.958,0.009,18.863,0.01,18.791,0.012,18.881,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,18.184,0.039,17.464,0.038,17.108,0.055,Surveyphotometry.dat crossmatch,15.514,0.04,13.994,0.037,11.023,0.103,8.222,0.223,Surveyphotometry.dat crossmatch
spec-2110-53467-0066.fits,SDSS J133251.34+305255.5,203.213908897404,30.882081106362985,1.4683208474409244e+18,18.471336364746094,QSO,QSO,xPCA,5169.466291857454,1.7184189415013427,0.0002363176035325953,,,0.02714959575036479,0.0052560339891494536,MW,5857.00039487815,-1.2196220924342023,18.821,0.02,18.694,0.008,18.629,0.009,18.366,0.01,18.271,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.24,0.023,16.708,0.027,16.257,0.028,Surveyphotometry.dat crossmatch,15.093,0.033,13.735,0.032,10.47,0.078,8.376,0.264,Surveyphotometry.dat crossmatch
spec-6000-56102-0703.fits,SDSS J132747.47+284259.9,201.9478055813485,28.71664101654025,1.4499382843348214e+18,17.501466751098633,QSO,QSO,xPCA,27208.01298108082,1.9318861608575522,0.0002530645627724234,,,0.18663381269242793,0.0008156184070860495,SMC,31284.14723669373,-0.9957685391419402,17.918,0.012,17.755,0.005,17.641,0.006,17.482,0.007,17.387,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,16.597,0.013,16.215,0.016,15.724,0.019,Surveyphotometry.dat crossmatch,14.534,0.029,13.15,0.027,9.553,0.035,7.406,0.12,Surveyphotometry.dat crossmatch
sdssJ130521+231038_combined.dat,sdssJ130521+231038_combined,196.3414599839179,23.177402490658004,3.9449246438777313e+18,,BAL_QSO,BAL_QSO,Stellar-templates,234.5337941260467,1.901052254544025,0.0027123801452837437,6.632445373347482e-09,0.01053357257572683,6.632445373347482e-09,0.01053357257572683,MW,234.5337941260467,-1.4976366326552006,19.521,0.029,19.444,0.011,19.366,0.013,19.182,0.016,19.04,0.04,Surveyphotometry.dat crossmatch,99.999,99.999,17.94,0.036,17.503,0.04,17.09,0.051,Surveyphotometry.dat crossmatch,15.924,0.05,14.589,0.059,11.121,0.147,8.35,0.255,Surveyphotometry.dat crossmatch
spec-2029-53819-0243.fits,SDSS J130220.02+305620.8,195.58343882728107,30.939142211233808,1.4647707649130744e+18,18.83534812927246,QSO,QSO,xPCA,15019.913750036329,0.41138772001151164,3.267390723758144e-05,,,0.3689764419127218,0.004583442057360887,MW,21675.687208960146,-2.551733331699308,18.653,0.017,18.402,0.007,18.417,0.008,18.207,0.009,17.96,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.224,0.021,16.488,0.028,15.655,0.019,Surveyphotometry.dat crossmatch,14.267,0.027,13.269,0.029,10.807,0.097,8.336,0.29,Surveyphotometry.dat crossmatch
spec-2665-54232-0134.fits,SDSS J133213.71+231213.7,203.0571443526704,23.20380687566248,1.4430608734626084e+18,18.971548080444336,QSO,QSO-MIDZ,xPCA,4038.032911070676,0.9305897674405346,0.00039631569102702765,,,0.07687867457589435,0.00537607141204155,SMC,4386.387289142475,-1.3428327890774738,19.133,0.024,18.951,0.009,18.79,0.01,18.752,0.011,18.603,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.684,0.03,17.548,0.042,16.704,0.04,Surveyphotometry.dat crossmatch,15.141,0.034,13.872,0.036,10.962,0.122,8.544,0.288,Surveyphotometry.dat crossmatch
spec-2666-54230-0200.fits,SDSS J134132.99+233651.0,205.38748882528748,23.614169414568845,1.4438394651342136e+18,18.868797302246094,QSO,,Composite model - SMC,4591.408078352665,0.6539976738234758,3.499718484101244e-05,0.3742799082158349,0.007377960970375103,0.3742799082158349,0.007377960970375103,SMC,4591.408078352665,-1.6258579472427324,19.46,0.028,19.035,0.009,18.933,0.011,18.785,0.012,18.76,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.955,0.044,17.144,0.045,16.158,0.032,Surveyphotometry.dat crossmatch,14.428,0.029,13.32,0.028,10.638,0.081,8.316,0.218,Surveyphotometry.dat crossmatch
spec-6000-56102-0880.fits,SDSS J133110.22+281616.9,202.79259139859576,28.271372472750823,1.4497132967685908e+18,18.730937957763672,QSO,QSO,xPCA,20427.331938218842,2.658026972863631,0.0005142755507613082,,,0.2892985828016055,0.002436954159922927,LMC,27073.73648939976,-1.362247431879039,20.0,0.039,19.0,0.009,18.876,0.011,18.817,0.012,18.732,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.904,0.034,17.523,0.044,17.231,0.067,Surveyphotometry.dat crossmatch,15.72,0.048,14.714,0.059,11.354,0.143,8.831,0.491,Surveyphotometry.dat crossmatch
spec-2029-53819-0543.fits,SDSS J130856.48+320059.6,197.2353667792865,32.01656290250034,1.4663873605396726e+18,18.925655364990234,QSO,QSO,xPCA,9949.781506564064,2.5808875914831098,0.0004782176946635153,,,0.046705502619476674,0.0059327027127032,MW,13650.40956928004,-1.4737458346268288,19.506,0.032,18.957,0.009,18.883,0.011,18.89,0.014,18.705,0.04,Surveyphotometry.dat crossmatch,99.999,99.999,18.118,0.038,17.548,0.043,16.846,0.045,Surveyphotometry.dat crossmatch,16.29,0.061,15.281,0.081,11.68,0.188,99.999,99.999,Surveyphotometry.dat crossmatch
spec-6494-56363-0464.fits,SDSS J135024.52+294753.4,207.60216341708195,29.798207341863527,1.4553838218298076e+18,18.954402923583984,BAL_QSO,QSO,xPCA,6768.666466943261,2.2295149305048314,0.00016648093714603934,,,0.08195580962595109,0.0016521664365408695,SMC,9328.95550004666,-1.2126037366502822,19.43,0.03,18.873,0.009,18.867,0.011,18.444,0.011,18.17,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.795,0.045,17.227,0.044,16.444,0.042,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch
