Filename,Object_name,RA,Dec,GAIA_ID,GAIA_Gmag,Type,Subtype,Method,Chi2,z,z_std,AB,AB_std,compoM_AB,compoM_AB_std,best_compoM_extinct_params,best_compoM_Chi2,LOF_val,SDSS-u,err_SDSS-u,SDSS-g,err_SDSS-g,SDSS-r,err_SDSS-r,SDSS-i,err_SDSS-i,SDSS-z,err_SDSS-z,SDSS_phot_method,UKIDSS_Y,err_UKIDSS_Y,UKIDSS_J,err_UKIDSS_J,UKIDSS_H,err_UKIDSS_H,UKIDSS_K,err_UKIDSS_K,UKIDSS_phot_method,WISE_W1,err_WISE_W1,WISE_W2,err_WISE_W2,WISE_W3,err_WISE_W3,WISE_W4,err_WISE_W4,WISE_phot_method
spec-1993-53762-0536.fits,SDSS J133321.15+353350.7,203.3381485141905,35.564101705967474,1.471886529290074e+18,18.576213836669922,QSO,QSO,xPCA,20271.811849700305,2.5604918828006618,0.00019290729259122317,,,6.365077193613844e-13,1.5988028054300782e-05,SMC,23464.46979215721,-1.111196082763763,19.195,0.022,18.441,0.007,18.476,0.008,18.448,0.01,18.241,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.44,0.032,16.966,0.056,16.147,0.036,Surveyphotometry.dat crossmatch,15.643,0.041,14.837,0.057,11.376,0.156,99.999,99.999,Surveyphotometry.dat crossmatch
spec-1346-52822-0086.fits,spec-1346-52822-0086,210.25677,40.908822,,,UNKNOWN,,,,,,,,,,,,,17.468,0.01,17.461,0.005,17.24,0.005,16.815,0.005,16.957,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,12.14,0.024,11.055,0.021,8.416,0.02,6.462,0.053,Surveyphotometry.dat crossmatch
spec-2654-54231-0590.fits,spec-2654-54231-0590,206.12338,21.803277,,,UNKNOWN,,,,,,,,,,,,,19.449,0.026,19.114,0.01,18.892,0.01,18.759,0.012,18.704,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,15.13,0.034,13.789,0.032,10.827,0.086,8.334,0.271,Surveyphotometry.dat crossmatch
spec-1840-53472-0396.fits,spec-1840-53472-0396,214.70349,34.119705,,,UNKNOWN,,,,,,,,,,,,,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.192,0.027,12.697,0.025,9.63,0.039,7.523,0.107,Surveyphotometry.dat crossmatch
spec-2101-53858-0442.fits,spec-2101-53858-0442,205.46231,37.844833,,,UNKNOWN,,,,,,,,,,,,,18.601,0.017,18.409,0.007,18.595,0.009,18.487,0.01,18.485,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.059,0.026,13.073,0.027,10.449,0.075,8.287,0.226,Surveyphotometry.dat crossmatch
spec-2227-53820-0073.fits,spec-2227-53820-0073,182.41092,27.605398,,,UNKNOWN,,,,,,,,,,,,,18.838,0.02,18.636,0.007,18.367,0.008,18.424,0.01,18.543,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.299,0.028,13.164,0.028,10.424,0.078,8.274,0.286,Surveyphotometry.dat crossmatch
spec-6686-56389-0060.fits,spec-6686-56389-0060,170.62779,46.620059,,,UNKNOWN,,,,,,,,,,,,,18.83,0.019,18.801,0.008,18.778,0.01,18.627,0.011,18.341,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,15.572,0.039,14.605,0.051,11.057,0.129,99.999,99.999,Surveyphotometry.dat crossmatch
spec-2238-54205-0429.fits,SDSS J124319.89+274431.8,190.8329023596408,27.742178656022077,3.962679660722396e+18,18.498422622680664,QSO,QSO-MIDZ,xPCA,5860.75792921617,0.5623200273093372,0.00011931631174675632,,,0.3313805875549857,0.004807277035689644,MW,6877.4167771909415,-1.7411058170759548,18.484,0.017,18.207,0.006,18.262,0.008,18.132,0.009,18.199,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.554,0.027,16.935,0.037,15.937,0.023,Surveyphotometry.dat crossmatch,14.412,0.029,13.262,0.029,10.258,0.07,7.704,0.208,Surveyphotometry.dat crossmatch
spec-1839-53471-0614.fits,spec-1839-53471-0614,213.79718,35.021252,,,UNKNOWN,,,,,,,,,,,,,18.302,0.015,18.074,0.006,17.901,0.006,17.952,0.008,17.973,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.647,0.029,13.584,0.031,11.156,0.109,9.08,0.457,Surveyphotometry.dat crossmatch
spec-2494-54174-0565.fits,spec-2494-54174-0565,170.52182,18.115627,,,UNKNOWN,,,,,,,,,,,,,19.038,0.027,18.786,0.009,18.567,0.009,18.387,0.01,18.342,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,15.204,0.04,13.949,0.043,11.077,0.181,8.218,0.237,Surveyphotometry.dat crossmatch
spec-2245-54208-0399.fits,SDSS J133118.76+260933.1,202.82818570494217,26.159194602793256,1.448151749738873e+18,18.568920135498047,QSO,QSO-MIDZ,xPCA,3657.4127544571957,1.3016008008807436,0.00027441567841220453,,,8.755271627049893e-12,4.1692696893562355e-05,LMC,6097.9035563396565,-1.0365387804473951,18.729,0.018,18.708,0.008,18.462,0.008,18.471,0.01,18.508,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.798,0.035,16.989,0.028,16.595,0.039,Surveyphotometry.dat crossmatch,15.072,0.034,13.756,0.034,10.836,0.096,8.489,0.286,Surveyphotometry.dat crossmatch
spec-1462-53112-0482.fits,spec-1462-53112-0482,200.80349,41.825855,,,UNKNOWN,,,,,,,,,,,,,18.786,0.02,17.979,0.006,18.045,0.007,17.938,0.008,17.644,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.854,0.031,13.864,0.034,10.074,0.048,7.496,0.122,Surveyphotometry.dat crossmatch
spec-2102-54115-0020.fits,spec-2102-54115-0020,203.29064,36.341891,,,UNKNOWN,,,,,,,,,,,,,18.056,0.013,17.524,0.005,17.542,0.006,17.409,0.006,17.311,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,12.921,0.025,11.852,0.022,9.563,0.041,7.547,0.122,Surveyphotometry.dat crossmatch
