angDist,source_id,ra,dec,l,b,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ref_epoch,JName,ra,dec,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,yAperMag3Err,j_1AperMag3Err,hAperMag3Err,kAperMag3Err,sourceID,mode,epoch,mergedClass
0.103986,3962874342999850368,191.67444646155465,28.985125135117606,152.04286491377914,87.86893512522853,0.017486742343423043,0.17485529,0.15587604722608087,0.16684645,-0.054497854036582034,0.18796517,18.725357,609.2612594692755,1.9698632,18.785717,18.367447,0.4182701,2016.0,J124641.87+285906.5,191.674468,+28.985147,18.068,17.422,17.091,16.142,0.029,0.026,0.029,0.027,433796252249,1,2010.2369,-1
0.155360,3962880669487104512,192.09369550006608,29.17374220566088,141.01997314090724,87.84597147800575,-0.022476699831548465,0.12399939,0.29502615381932545,0.1591375,-0.1057079920795658,0.12763536,18.040459,1144.8893527703153,2.529504,18.22432,17.627274,0.5970459,2016.0,J124822.49+291025.5,192.093740,+29.173761,17.287,16.914,16.533,15.944,0.017,0.016,0.029,0.022,433795972350,1,2010.2036,-1
0.054107,3962961341857166208,190.08803328822896,28.42756096938772,184.37270387819996,87.22509168498586,0.004728825766234025,0.12186648,0.023135649178312328,0.11878034,0.15573901823710917,0.11321998,17.947172,1247.607714907014,2.6573048,18.189177,17.522358,0.6668186,2016.0,J124021.13+282539.2,190.088045,+28.427572,17.338,16.906,16.333,15.927,0.017,0.018,0.015,0.022,433797038334,1,2010.2369,-1
0.134377,3962984431601401344,190.13234616748412,28.730060545039965,178.68337008823588,87.1068118528675,-0.08343046738861208,0.17102489,-0.19207517530903176,0.16389611,0.033182830020624984,0.15845565,18.416943,809.4120021139393,1.7457561,18.621214,18.08773,0.5334835,2016.0,J124031.75+284348.1,190.132308,+28.730044,17.655,17.415,16.816,16.059,0.023,0.031,0.024,0.028,433796486893,1,2010.2369,-1
0.064770,3962985050076702336,190.2129969530925,28.778990614636797,177.08995233590753,87.13837014591559,0.2282553968303447,0.26591074,0.08471556073841505,0.23847999,-0.2389511661113906,0.22637072,18.99449,475.50018393043143,1.1856142,19.352636,18.505535,0.8471012,2016.0,J124051.11+284644.3,190.212985,+28.778976,18.660,18.285,17.703,16.945,0.053,0.067,0.053,0.060,433796486986,1,2010.2369,-1
0.173489,3963009862103590656,190.37353263286423,28.869995596516166,173.92123292700717,87.19807946468256,0.06739911213969105,0.084281,0.015595196042903523,0.08185305,-0.010678014967512167,0.074808605,17.250868,2369.189419843364,14.947486,17.36858,17.013687,0.35489273,2016.0,J124129.65+285212.0,190.373577,+28.870024,16.410,16.677,16.092,15.228,0.009,0.017,0.014,0.014,433796506668,1,2010.2369,-1
0.104422,3963046008548774656,191.0143440001167,28.900999246337193,165.08128357190333,87.59258762591404,0.16579990061880012,0.5649197,-0.056850916699898134,0.54698384,-0.537875885275187,0.61018795,18.24629,947.1766334373795,8.274112,16.223677,14.976165,1.2475119,2016.0,J124403.44+285403.6,191.014366,+28.901021,14.632,14.115,13.474,13.237,0.003,0.002,0.002,0.003,433796541264,2,2010.2369,1
0.138646,3963046008548774656,191.0143440001167,28.900999246337193,165.08128357190333,87.59258762591404,0.16579990061880012,0.5649197,-0.056850916699898134,0.54698384,-0.537875885275187,0.61018795,18.24629,947.1766334373795,8.274112,16.223677,14.976165,1.2475119,2016.0,J124403.45+285403.5,191.014379,+28.900976,14.565,14.077,13.439,13.142,0.003,0.003,0.002,0.003,433796494650,1,2010.2369,1
0.230204,3963111150316640384,191.02423386982994,29.300853525955134,159.1643154317619,87.29170339405403,0.1906805867583569,0.15996307,-0.08147581226917967,0.17418244,-0.05406926052654144,0.16531903,18.400423,821.821934339377,1.4801093,18.60926,18.003136,0.6061249,2016.0,J124405.83+291803.1,191.024303,+29.300875,17.658,17.257,16.737,16.373,0.022,0.022,0.029,0.033,433795958057,1,2010.2036,-1
0.297021,3963111150316640384,191.02423386982994,29.300853525955134,159.1643154317619,87.29170339405403,0.1906805867583569,0.15996307,-0.08147581226917967,0.17418244,-0.05406926052654144,0.16531903,18.400423,821.821934339377,1.4801093,18.60926,18.003136,0.6061249,2016.0,J124405.83+291803.1,191.024326,+29.300872,18.063,,17.471,17.039,0.031,,0.061,0.063,433795977998,2,2010.2036,0
