angDist,source_id,ra,dec,l,b,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ref_epoch,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M
0.059818,1462028445474889600,201.6917677319128,29.305003088337056,50.61896847069265,81.92111076693175,0.10044794760106042,0.294166,-0.0558368949804316,0.15908736,-0.05314436939171611,0.19411412,18.60953,677.8523406685968,2.6291049,18.732368,18.330004,0.40236473,2016.0,J132646.02+291818.0,201.6917866,+29.3050011,0.0752,0.0698,7.1,15.315,13.942,11.200,8.819,,,,0.036,0.036,0.146,0.463,,,,2022128701351064119,0000,0,11nn,AABC,100,231,-48,241,
0.162146,1462029338828097280,201.69868278601774,29.384292089201434,51.155924014089614,81.89638583689234,-0.38778389057287094,0.2953882,-0.18137097353876785,0.19985177,0.3184690649701061,0.23367609,18.785248,576.5641366690855,2.070654,19.404411,18.115896,1.2885151,2016.0,J132647.67+292303.3,201.6986644,+29.3842500,0.0853,0.0794,16.8,15.369,14.783,11.424,8.468,,,,0.036,0.052,0.151,,,,,2022128701351064145,0000,0,00nn,AABU,-221,277,-12,286,
0.043736,1472985731680166528,199.04702960119724,33.97420046168667,86.56941943351491,81.32910961552018,-0.030739210558474974,0.16095547,0.055952962307395354,0.14819984,-0.012608051931881095,0.19311656,18.672031,639.932610428356,2.3725314,18.729216,18.40993,0.31928635,2016.0,J131611.28+335827.1,199.0470160,+33.9741959,0.0590,0.0562,55.4,14.592,13.417,10.560,8.158,,,,0.030,0.029,0.071,0.245,,,,1997133301351063615,0000,0,000n,AAAB,-44,168,188,170,
0.091962,1467597476165425664,195.22286769876354,33.80995980259629,106.5663252898264,83.01538025228058,-0.03287892683811132,0.09819763,-0.0785840263386777,0.067005366,-0.0355350529016043,0.12421946,17.856443,1356.342147036207,2.4076638,17.95051,17.554857,0.39565277,2016.0,J130053.49+334835.8,195.2228935,+33.8099459,0.0456,0.0446,147.2,13.928,12.676,9.863,7.606,16.621,16.616,15.290,0.026,0.024,0.054,0.122,0.131,0.270,0.145,1943133301351054426,0000,0,011n,AAAB,144,204,129,179,0.581
0.047086,1462055284725668608,200.8356432770216,29.168641438939083,50.969158611446915,82.679065909896,-0.026238674587885934,0.072686754,0.023489856254868692,0.048921764,0.0025211091829957163,0.055838212,16.599327,4317.335958196477,11.05941,16.715912,16.323595,0.39231682,2016.0,J132320.55+291007.0,200.8356295,+29.1686364,0.0368,0.0353,121.0,12.980,11.637,8.789,6.727,16.018,15.550,14.759,0.023,0.021,0.025,0.072,0.077,0.128,0.091,2005128701351048991,0000,0,1100,AAAA,233,42,144,44,0.181
0.076931,1473005557249433728,199.62066466938472,34.20968498489864,85.2166546205728,80.84206082983849,-0.17598623728380533,0.12018267,-0.12044508014886053,0.10192733,0.05988231404298773,0.11910654,18.087055,1096.7937951259548,4.673802,17.997469,17.553871,0.4435978,2016.0,J131828.95+341234.8,199.6206394,+34.2096896,0.0374,0.0365,141.4,13.005,11.879,8.920,6.502,16.563,15.710,14.744,0.024,0.021,0.027,0.058,0.111,0.120,0.080,1991134801351002322,0000,0,1100,AAAA,200,46,144,48,0.183
0.071588,1483182709891672704,208.40478064858752,35.68824922557599,69.65665463519225,74.24210379078264,-0.36257582762993257,0.20443004,0.15253967288756426,0.29747152,-0.09382641219503612,0.40300184,18.296597,904.2913971001054,4.392017,16.734657,15.388392,1.3462648,2016.0,J135337.14+354117.7,208.4047900,+35.6882676,0.0426,0.0401,120.8,12.498,12.539,11.654,9.068,13.954,13.233,12.924,0.023,0.024,0.183,,0.031,0.031,0.034,2089136301351008192,0000,1,00nn,AABU,54,43,-62,44,0.155
0.127592,1483188443671717376,208.48584481221147,35.70798210388145,69.60488058944512,74.1748373331063,0.017136118802571976,0.0796358,0.16723748198715144,0.120378286,0.042949120570964255,0.15590855,18.615377,674.2112040732429,2.4078577,18.746456,18.26972,0.47673607,2016.0,J135356.60+354228.8,208.4858434,+35.7080175,0.1027,0.0945,17.4,15.828,14.448,11.538,8.907,,,,0.046,0.045,0.174,0.415,,,,2089136301351008326,0000,0,00nn,AABC,204,296,142,317,
0.074600,1467636268309855744,196.67197322866005,33.261821393946434,95.62553984642352,83.03888206068022,0.20547392872198905,0.19490586,0.003152859856820183,0.13048151,-0.25522973825063666,0.200659,18.801361,568.0709343847183,1.1316805,19.03139,18.446026,0.5853634,2016.0,J130641.27+331542.6,196.6719902,+33.2618365,0.0711,0.0670,13.3,15.235,13.795,10.827,8.595,,,,0.035,0.035,0.105,0.313,,,,1961133301351029656,0000,0,110n,AAAB,156,213,261,226,
0.083234,1467636710690121216,196.66590386433253,33.29078165752639,95.77824903516846,83.01606119316072,0.021886792922252,0.23788545,-0.07564308640797467,0.14213255,0.10279893993679308,0.2135463,18.967974,487.2556585763103,1.0810022,19.226116,18.541222,0.68489456,2016.0,J130639.82+331726.8,196.6659315,+33.2907801,0.1196,0.1076,20.8,16.019,14.778,11.452,8.647,,,,0.050,0.057,0.159,0.326,,,,1961133301351029730,0000,0,00nn,AABB,247,396,298,430,
0.139559,1473023664831604608,199.40205919164933,34.42109237537699,86.93672603848272,80.79742686065529,0.06834608732596423,0.12862565,0.11683101748187069,0.10215407,-0.16562166376978757,0.118866235,18.162666,1023.0105333863087,14.72706,18.282204,17.658499,0.6237049,2016.0,J131736.48+342516.0,199.4020312,+34.4211235,0.0428,0.0405,136.2,13.637,12.516,9.444,7.099,,,,0.025,0.024,0.034,0.084,,,,1991134801351022639,0000,0,9900,AAAA,195,56,195,59,
0.279752,1462097237966616832,201.27665549569517,29.617529928117126,53.48087752287228,82.18926423552067,-0.283967621628857,0.19241187,0.14185383688685327,0.16003951,0.11585858821725911,0.18605758,18.745365,598.1373577013035,2.3334258,18.910154,18.420134,0.49002075,2016.0,J132506.37+293703.0,201.2765661,+29.6175276,0.0594,0.0576,0.7,14.811,13.610,11.050,8.590,,,,0.031,0.030,0.108,0.329,,,,2017130201351008360,0000,0,001n,AAAB,103,169,41,175,
0.290822,1462105381224199680,200.87730060694332,29.555287837796122,53.78755537693225,82.53972169419447,0.16797915372310668,0.15870719,-0.01906547119622551,0.15049659,-0.4032761653921588,0.20207594,18.756851,591.842566450381,1.7253048,18.894281,18.432981,0.4612999,2016.0,J132330.53+293318.9,200.8772111,+29.5552663,0.0524,0.0504,171.2,14.405,13.197,10.433,7.892,,,,0.028,0.028,0.067,0.179,,,,2017130201351011009,0000,0,111n,AAAB,201,271,90,200,
0.116586,1467659800434582016,197.32130120056777,33.51384165955489,92.93801713291613,82.54502128259543,0.20908304216815068,0.18968728,0.11860232434079493,0.12854485,0.16863081923372125,0.19925861,18.818789,559.0250496869456,2.7333264,18.84284,18.301596,0.5412445,2016.0,J130917.12+333049.8,197.3213381,+33.5138519,0.0788,0.0747,10.1,15.049,14.318,11.566,8.945,,,,0.034,0.047,0.186,,,,,1979133301351041544,0000,0,00nn,AABU,495,221,-37,238,
0.789772,1467666161282572672,197.1826908049084,33.49078168708518,93.60416265304984,82.62565128329535,0.04543742324149183,0.1985399,-0.09446811044460163,0.16761704,-0.08617821620478626,0.22580639,18.884094,526.3913651150807,2.877175,18.931782,18.437548,0.49423409,2016.0,J130843.86+332927.5,197.1827755,+33.4909894,0.0568,0.0554,14.5,14.403,13.492,10.789,8.743,,,,0.028,0.030,0.094,0.423,,,,1979133301351041521,0000,0,001n,AAAC,369,155,219,160,
0.040668,1462126198929771904,201.71853353106042,29.42634904980304,51.414787469427445,81.86933239255218,-0.05858757301276306,0.06468125,-0.05710123532873155,0.045587156,0.03755433276698134,0.05137741,16.410332,5138.239601850583,8.002557,16.59179,16.04803,0.5437584,2016.0,J132652.44+292534.8,201.7185208,+29.4263471,0.0383,0.0368,128.9,13.130,11.799,9.235,7.623,15.484,14.986,14.508,0.024,0.022,0.032,0.149,0.059,0.076,0.083,2022128701351064033,0000,0,000n,AAAB,80,45,76,47,0.196
0.105107,1462140733099141888,201.56247237299777,29.55860242118087,52.57219670996275,81.96663041140489,0.13667858746152103,0.2204855,0.04501959502221998,0.1466084,0.29999364956599256,0.18305153,18.65261,651.4815817727784,3.16252,18.829964,17.891119,0.9388447,2016.0,J132614.98+293330.8,201.5624518,+29.5585793,0.0547,0.0540,0.8,14.342,13.705,11.757,8.695,,,,0.027,0.031,0.219,,,,,2017130201351005668,0000,0,22nn,AABU,218,123,30,130,
0.222580,1483240498675398016,209.48816627991653,35.96422488928039,69.05464134981925,73.33682917407924,0.09977775582803136,0.09744866,-0.03566863887896601,0.14881898,-0.06804177372276003,0.19945408,18.913666,512.247834269968,3.159558,18.93951,18.338795,0.60071564,2016.0,J135757.16+355751.4,209.4881973,+35.9642814,0.0681,0.0650,18.0,14.975,13.919,10.850,8.331,,,,0.033,0.036,0.084,0.242,,,,2089136301351021612,0000,0,110n,AAAB,142,185,130,204,
0.043337,1467702857482781440,196.43256204051434,33.592112263165916,98.31764277350246,82.8399940088588,-0.10293522938846088,0.09426644,-0.10342514448074101,0.07142039,-0.038275604629690194,0.09559874,17.726416,1528.9037891070195,9.987034,17.719196,17.354095,0.36510086,2016.0,J130543.81+333531.5,196.4325732,+33.5921046,0.0410,0.0396,123.1,13.470,12.376,9.873,7.442,16.687,15.778,15.007,0.023,0.023,0.046,0.142,0.144,0.130,0.120,1961133301351048180,0000,0,1100,AAAB,248,202,211,146,0.069
0.104650,1473086165195235072,198.71019858427624,34.51992925893774,90.1885906282579,81.06680382806584,0.23563204903085777,0.15295486,-0.004266780461217915,0.12775362,0.018691606846872374,0.1645202,18.436438,795.0081909101938,2.271435,18.58822,18.061693,0.5265274,2016.0,J131450.43+343111.7,198.7101634,+34.5199277,0.1045,0.0969,5.6,15.713,14.622,11.225,8.964,,,,0.044,0.052,0.157,0.493,,,,1991134801351016601,0000,0,00nn,AABC,568,338,-64,368,
0.071550,1462160116288045440,202.28679744214517,29.840048827244814,53.266374676658664,81.28481864662784,-0.24039994737624232,0.31058532,-0.21122984644988999,0.15972832,-0.3532135445135216,0.2575935,18.768543,585.503294163117,3.8517394,17.59973,16.487078,1.1126518,2016.0,J132908.83+295024.2,202.2868053,+29.8400675,0.0430,0.0410,118.4,13.076,12.454,10.165,8.177,15.386,14.685,14.190,0.024,0.024,0.056,0.222,0.072,0.065,0.073,2017130201351024102,0000,0,660n,AAAB,64,210,53,209,0.220
0.107901,1473102657869947776,199.7142898976082,34.39123475487396,85.59469843585583,80.65431494235202,-0.02869697187806288,0.14797612,0.08047507811912684,0.11030626,-0.1635194539652472,0.14801389,18.510256,742.7531853981984,2.101586,18.735619,18.147772,0.58784676,2016.0,J131851.43+342328.4,199.7143259,+34.3912387,0.1120,0.1023,12.4,15.934,14.851,11.261,8.542,,,,0.046,0.059,0.114,,,,,1991134801351022794,0000,0,00nn,AABU,-160,379,107,414,
0.011168,1467722232079038720,196.78138684254967,33.72049665812199,96.74691366332006,82.59271878548928,0.021108937935371892,0.12810676,0.07695189687123613,0.10832072,0.00255989064377337,0.15456218,18.438269,793.6681639896578,3.2664711,18.576218,18.06743,0.50878716,2016.0,J130707.53+334313.7,196.7813905,+33.7204970,0.0740,0.0695,15.2,15.228,13.902,11.195,8.854,,,,0.035,0.036,0.144,0.401,,,,1961133301351051115,0000,0,00nn,AABC,538,214,485,231,
0.035730,1473110938566938368,199.99365645988803,34.57375076947493,85.26968119899053,80.36540221651163,-0.05106387937252059,0.14334768,0.16751303346001767,0.12708646,-0.0498027446565978,0.16132829,18.59197,688.9043688124126,3.4906993,18.754343,18.217175,0.5371685,2016.0,J131958.47+343425.5,199.9936447,+34.5737530,0.0724,0.0696,16.2,15.314,13.947,11.171,8.887,,,,0.036,0.035,0.099,,,,,1991134801351025405,0000,0,00nn,AAAU,140,219,132,232,
0.079366,1462205707364797696,201.5125435946134,29.966172698546032,55.439114339249066,81.88936366729415,-0.022954033070412848,0.17301573,0.3615397976534699,0.19935465,0.04689547932217275,0.19809136,18.904696,516.498037189308,0.9330222,19.486635,18.196388,1.290247,2016.0,J132603.01+295758.2,201.5125597,+29.9661898,0.1723,0.1574,15.6,16.375,15.897,11.941,9.180,,,,0.059,0.122,,0.511,,,,2017130201351016787,0000,0,0nnn,ABUC,-44,642,188,682,
0.086195,1462218420468097792,201.27925151388067,30.143102002049584,57.108500582357,82.02168312325784,0.1263899471594768,0.17883256,-0.09474053541054495,0.18668543,0.15562401489002953,0.2074074,18.991636,476.7519025337287,1.2844728,19.035109,18.432442,0.60266685,2016.0,J132507.01+300835.0,201.2792447,+30.1430788,0.0636,0.0615,178.4,14.845,13.952,11.159,8.698,,,,0.030,0.035,0.128,0.323,,,,2017130201351034911,0000,0,00nn,AABB,-33,180,44,188,
0.695632,1467757038493789824,197.42333757344144,33.67731486346902,93.05420342971617,82.36140645067492,-0.04862318583405101,0.1585666,0.14364639542846347,0.12559068,-0.14554053628481955,0.1888379,18.760887,589.6471956723249,2.2580304,18.817947,18.532671,0.2852764,2016.0,J130941.61+334037.6,197.4233984,+33.6771284,0.0779,0.0720,13.1,15.114,14.179,11.102,8.465,,,,0.036,0.041,0.112,0.239,,,,1979133301351041547,0000,0,111n,AABB,80,226,20,246,
