#GAIA_ID RA Dec SDSS-u err_SDSS-u SDSS-g err_SDSS-g SDSS-r err_SDSS-r SDSS-i err_SDSS-i SDSS-z err_SDSS-z UKIDSS_Y err_UKIDSS_Y UKIDSS_J err_UKIDSS_J UKIDSS_H err_UKIDSS_H UKIDSS_K err_UKIDSS_K 2MASS_J err_2MASS_J 2MASS_H err_2MASS_H 2MASS_K err_2MASS_K WISE_W1 err_WISE_W1 WISE_W2 err_WISE_W2 WISE_W3 err_WISE_W3 WISE_W4 err_WISE_W4
759495559626099456 172.5009795203703 34.773880374320726 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.656 0.043 15.314 0.095 99.999 99.999 99.999 99.999
759501332062261632 172.8783167235803 34.931699079258934 19.788 0.033 18.917 0.009 18.805 0.01 18.801 0.013 18.568 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999
759509097363020928 172.43887296848004 34.86650337284866 18.806 0.019 18.49 0.008 18.328 0.008 18.228 0.009 18.054 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.999 0.034 13.893 0.038 10.974 0.122 8.158 0.249
759548576702723840 172.6694206910239 35.34868994394373 18.621 0.018 18.483 0.007 18.267 0.008 17.897 0.008 18.002 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.648 0.141 15.759 0.157 15.087 0.127 13.735 0.026 12.655 0.025 9.613 0.04 7.327 0.111
759597367530951040 174.0152274621846 35.44964899003545 19.386 0.028 19.117 0.01 18.999 0.011 19.012 0.015 18.611 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.085 0.027 13.125 0.029 10.373 0.072 8.0 0.203
759624511724491520 174.11009079951816 35.84800310806473 19.613 0.028 19.376 0.012 19.148 0.013 19.134 0.017 19.023 0.04 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.843 0.033 13.456 0.033 10.591 0.092 8.524 0.341
759634476048509952 173.42828193707263 35.526512874511326 17.835 0.013 17.672 0.005 17.354 0.005 17.011 0.006 17.014 0.01 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.028 0.083 14.89 0.08 13.97 0.058 12.404 0.023 11.551 0.02 9.019 0.03 6.477 0.067
759647326590746752 173.47564146579407 35.795315107107115 19.981 0.037 19.907 0.016 19.816 0.02 19.369 0.02 19.318 0.06 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.946 0.053 15.125 0.076 11.7 0.222 99.999 99.999
759649289390891904 173.0918365188886 35.55714645763931 17.924 0.019 16.293 0.003 15.626 0.003 15.318 0.003 15.054 0.0 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.625 0.043 14.025 0.051 13.715 0.056 13.114 0.025 13.069 0.027 12.761 0.54 99.999 99.999
759662891552259712 173.1885169373691 35.8725224080433 22.432 0.259 19.667 0.014 19.041 0.012 18.747 0.012 18.67 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.908 0.051 14.928 0.067 10.954 0.121 8.977 0.449
