angDist,source_id,ra,dec,l,b,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ref_epoch,objID,RA_ICRS,DE_ICRS,errHalfMaj,errHalfMin,errPosAng,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,spCl,subCl,pmRA,pmDE,e_pmRA,e_pmDE,sigRA,sigDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD
0.067616,1456591055533729280,205.641924975802,31.530839141983915,57.545897645094854,78.0280617346492,0.016804698764738984,0.5185891,-0.099820494428139,0.45236242,1.1345989483596903,0.7059329,18.77545,581.7907505849201,3.0078669,16.463827,15.092781,1.3710461,2016.0,1237665227849990211,205.641914,31.530823,0.002,0.002,90,3,3,0,0.002,0.002,16.679,14.853,14.042,13.641,13.349,0.011,0.002,0.002,0.002,0.003,,,,,,,,,,,,,,,3,SDSS J134234.05+313150.9,,53120.3817
0.067620,1456591055533729280,205.641924975802,31.530839141983915,57.545897645094854,78.0280617346492,0.016804698764738984,0.5185891,-0.099820494428139,0.45236242,1.1345989483596903,0.7059329,18.77545,581.7907505849201,3.0078669,16.463827,15.092781,1.3710461,2016.0,1237665227849990212,205.641914,31.530823,0.002,0.002,90,1,3,1,0.002,0.002,16.723,14.881,14.070,13.670,13.379,0.011,0.002,0.002,0.002,0.003,0.02501,0.00001,0,GALAXY,BROADLINE,1.10,6.67,2.36,2.36,234.75,200.18,0.0287,0.0075,0.0298,3,SDSS J134234.05+313150.9,2024-53503-0289,53120.3817
0.057527,1456608162386996608,206.15465520313958,31.668381088449998,57.51945883944674,77.57024093398275,0.016367855464537718,0.12117995,-0.11841695849329925,0.124033436,-0.10997201461793603,0.17199802,18.738333,602.0238434892806,1.1872082,18.992987,18.325205,0.66778183,2016.0,1237665331470794831,206.154647,31.668367,0.009,0.009,90,3,6,0,0.009,0.009,19.187,19.076,19.037,18.784,18.805,0.026,0.010,0.012,0.015,0.052,,,,,,,,,,,,,,,3,SDSS J134437.11+314006.1,,53137.3118
0.057731,1456608162386996608,206.15465520313958,31.668381088449998,57.51945883944674,77.57024093398275,0.016367855464537718,0.12117995,-0.11841695849329925,0.124033436,-0.10997201461793603,0.17199802,18.738333,602.0238434892806,1.1872082,18.992987,18.325205,0.66778183,2016.0,1237665331470794832,206.154647,31.668367,0.009,0.009,90,1,6,1,0.009,0.009,19.190,19.078,19.040,18.787,18.810,0.026,0.010,0.012,0.015,0.052,1.69629,0.00040,0,QSO,BROADLINE,-1.21,-0.98,2.84,2.84,94.86,308.15,,,,3,SDSS J134437.11+314006.1,2024-53503-0209,53137.3118
0.123691,1456608162386996608,206.15465520313958,31.668381088449998,57.51945883944674,77.57024093398275,0.016367855464537718,0.12117995,-0.11841695849329925,0.124033436,-0.10997201461793603,0.17199802,18.738333,602.0238434892806,1.1872082,18.992987,18.325205,0.66778183,2016.0,1237665331470794830,206.154665,31.668348,0.009,0.009,90,3,6,0,0.009,0.009,19.153,19.067,19.016,18.762,18.795,0.026,0.010,0.012,0.015,0.052,,,,,,,,,,,,,,,3,SDSS J134437.11+314006.0,,53137.3118
0.091388,1456614866832098048,206.18471758006407,31.835484534577997,58.21672158354843,77.49332584630457,-0.10365195074921282,0.0658514,-0.05309391744391044,0.07081128,0.07254760834285633,0.0979972,17.799316,1429.618399190455,1.519804,18.136997,17.215101,0.921896,2016.0,1237665228386992215,206.184698,31.835465,0.003,0.003,90,1,6,1,0.003,0.003,18.426,17.842,17.524,17.292,17.218,0.017,0.006,0.005,0.006,0.012,1.43614,0.00016,0,QSO,BROADLINE,-1.98,-3.59,2.51,2.51,96.50,102.88,,,,3,SDSS J134444.32+315007.6,6496-56363-0972,53120.3825
0.091388,1456614866832098048,206.18471758006407,31.835484534577997,58.21672158354843,77.49332584630457,-0.10365195074921282,0.0658514,-0.05309391744391044,0.07081128,0.07254760834285633,0.0979972,17.799316,1429.618399190455,1.519804,18.136997,17.215101,0.921896,2016.0,1237665228386992214,206.184698,31.835465,0.003,0.003,90,3,6,0,0.003,0.003,18.426,17.842,17.524,17.292,17.218,0.017,0.006,0.005,0.006,0.012,,,,,,,,,,,,,,,3,SDSS J134444.32+315007.6,,53120.3825
0.097897,1456614866832098048,206.18471758006407,31.835484534577997,58.21672158354843,77.49332584630457,-0.10365195074921282,0.0658514,-0.05309391744391044,0.07081128,0.07254760834285633,0.0979972,17.799316,1429.618399190455,1.519804,18.136997,17.215101,0.921896,2016.0,1237665228387057667,206.184695,31.835465,0.003,0.003,90,4,6,0,0.003,0.003,18.416,17.835,17.524,17.299,17.221,0.017,0.006,0.005,0.006,0.012,,,,,,,,,,,,,,,3,SDSS J134444.32+315007.6,,53120.3829
0.097897,1456614866832098048,206.18471758006407,31.835484534577997,58.21672158354843,77.49332584630457,-0.10365195074921282,0.0658514,-0.05309391744391044,0.07081128,0.07254760834285633,0.0979972,17.799316,1429.618399190455,1.519804,18.136997,17.215101,0.921896,2016.0,1237665228387057666,206.184695,31.835465,0.003,0.003,90,3,6,0,0.003,0.003,18.416,17.835,17.523,17.299,17.221,0.017,0.006,0.005,0.006,0.012,,,,,,,,,,,,,,,3,SDSS J134444.32+315007.6,,53120.3829
0.101550,1456614866832098048,206.18471758006407,31.835484534577997,58.21672158354843,77.49332584630457,-0.10365195074921282,0.0658514,-0.05309391744391044,0.07081128,0.07254760834285633,0.0979972,17.799316,1429.618399190455,1.519804,18.136997,17.215101,0.921896,2016.0,1237665228386992213,206.184705,31.835458,0.003,0.003,90,3,6,0,0.003,0.003,18.400,17.841,17.517,17.288,17.230,0.017,0.006,0.005,0.006,0.012,,,,,,,,,,,,,,,3,SDSS J134444.32+315007.6,,53120.3825
0.111072,1456614866832098048,206.18471758006407,31.835484534577997,58.21672158354843,77.49332584630457,-0.10365195074921282,0.0658514,-0.05309391744391044,0.07081128,0.07254760834285633,0.0979972,17.799316,1429.618399190455,1.519804,18.136997,17.215101,0.921896,2016.0,1237665228387057665,206.184703,31.835456,0.003,0.003,90,3,6,0,0.003,0.003,18.388,17.835,17.522,17.299,17.208,0.017,0.006,0.005,0.006,0.012,,,,,,,,,,,,,,,3,SDSS J134444.32+315007.6,,53120.3829
0.069064,1456622524757665280,205.84186625690617,31.807731139566577,58.535828413386014,77.77787531835045,0.03949819547194557,0.091249466,0.11432897173024675,0.09904587,0.03759661848385032,0.1361008,18.145943,1038.8904066565185,3.5048656,18.280947,17.906763,0.37418365,2016.0,1237665331470663714,205.841854,31.807715,0.006,0.006,90,1,6,1,0.006,0.006,18.402,18.362,18.262,18.352,18.208,0.016,0.007,0.008,0.011,0.032,0.92702,0.00039,0,QSO,BROADLINE,-1.98,-0.73,2.84,2.84,199.56,141.45,,,,3,SDSS J134322.04+314827.7,2024-53503-0247,53137.3110
0.126964,1456622524757665280,205.84186625690617,31.807731139566577,58.535828413386014,77.77787531835045,0.03949819547194557,0.091249466,0.11432897173024675,0.09904587,0.03759661848385032,0.1361008,18.145943,1038.8904066565185,3.5048656,18.280947,17.906763,0.37418365,2016.0,1237665331470663713,205.841879,31.807697,0.006,0.006,90,3,6,0,0.006,0.006,18.382,18.347,18.251,18.309,18.178,0.016,0.007,0.007,0.011,0.032,,,,,,,,,,,,,,,3,SDSS J134322.05+314827.7,,53137.3110
0.075608,1442169242548149632,203.7652993395131,22.51465258726595,10.310676628620536,79.08564182577086,0.2051875004624172,0.19318339,-0.08436623033805082,0.12221328,-0.21675047142814888,0.19054258,18.73012,606.5949948893747,1.5377581,18.940016,18.372913,0.56710243,2016.0,1237667736663883962,203.765314,22.514669,0.006,0.005,90,1,6,1,0.006,0.005,20.246,19.055,18.944,18.899,18.759,0.044,0.009,0.010,0.013,0.033,2.96943,0.00023,0,QSO,BROADLINE,0.96,2.47,3.00,3.00,144.58,134.61,,,,3,SDSS J133503.67+223052.8,5998-56087-0410,53439.4139
0.094711,1442169242548149632,203.7652993395131,22.51465258726595,10.310676628620536,79.08564182577086,0.2051875004624172,0.19318339,-0.08436623033805082,0.12221328,-0.21675047142814888,0.19054258,18.73012,606.5949948893747,1.5377581,18.940016,18.372913,0.56710243,2016.0,1237667736663883961,203.765326,22.514663,0.005,0.005,90,3,6,0,0.005,0.005,20.165,18.979,18.867,18.820,18.694,0.043,0.009,0.010,0.012,0.033,,,,,,,,,,,,,,,3,SDSS J133503.67+223052.7,,53439.4139
0.105411,1442169242548149632,203.7652993395131,22.51465258726595,10.310676628620536,79.08564182577086,0.2051875004624172,0.19318339,-0.08436623033805082,0.12221328,-0.21675047142814888,0.19054258,18.73012,606.5949948893747,1.5377581,18.940016,18.372913,0.56710243,2016.0,1237667736663949346,203.765329,22.514662,0.059,0.054,90,4,6,0,0.059,0.054,20.212,19.037,18.940,18.892,18.770,0.043,0.009,0.010,0.012,0.033,,,,,,,,,,,,,,,3,SDSS J133503.67+223052.7,,53439.4143
0.005583,1442172438004450816,204.26857660303187,22.391680928759587,10.83826936672077,78.61547229460534,-0.3130125606508075,0.23813279,-0.027981974969150867,0.12743664,-0.035117789609417235,0.23365442,18.908213,514.8274428707042,1.7647959,19.204844,18.50978,0.69506264,2016.0,1237667783916257393,204.268575,22.391682,0.007,0.006,90,1,6,1,0.007,0.006,21.600,19.262,19.086,19.028,18.969,0.134,0.010,0.011,0.015,0.039,3.11281,0.00037,0,QSO,BROADLINE,-1.74,6.64,3.08,3.08,153.76,195.11,,,,3,SDSS J133704.45+222330.0,5998-56087-0333,53441.3642
0.030507,1442172438004450816,204.26857660303187,22.391680928759587,10.83826936672077,78.61547229460534,-0.3130125606508075,0.23813279,-0.027981974969150867,0.12743664,-0.035117789609417235,0.23365442,18.908213,514.8274428707042,1.7647959,19.204844,18.50978,0.69506264,2016.0,1237667783916257392,204.268571,22.391688,0.007,0.006,90,3,6,0,0.007,0.006,21.527,19.259,19.084,19.028,18.938,0.125,0.010,0.011,0.015,0.039,,,,,,,,,,,,,,,3,SDSS J133704.45+222330.0,,53441.3642
0.007707,1442194870616750976,204.04150434507554,22.65612142652159,11.573190464723996,78.92114783254591,-0.0901528128610084,0.1501675,-0.10190076630603044,0.0842566,0.05902500363431035,0.15353355,18.406137,817.5073210241001,1.193501,18.769125,17.849545,0.91958046,2016.0,1237667736664015020,204.041506,22.656122,0.004,0.004,90,4,0,0,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,3,SDSS J133609.96+223922.0,,53439.4147
0.054388,1442194870616750976,204.04150434507554,22.65612142652159,11.573190464723996,78.92114783254591,-0.0901528128610084,0.1501675,-0.10190076630603044,0.0842566,0.05902500363431035,0.15353355,18.406137,817.5073210241001,1.193501,18.769125,17.849545,0.91958046,2016.0,1237667910064078955,204.041513,22.656134,0.003,0.003,0,4,6,0,0.003,0.003,19.574,18.923,18.363,18.199,18.047,0.030,0.009,0.008,0.009,0.019,,,,,,,,,,,,,,,3,SDSS J133609.96+223922.0,,53462.2296
0.057994,1442194870616750976,204.04150434507554,22.65612142652159,11.573190464723996,78.92114783254591,-0.0901528128610084,0.1501675,-0.10190076630603044,0.0842566,0.05902500363431035,0.15353355,18.406137,817.5073210241001,1.193501,18.769125,17.849545,0.91958046,2016.0,1237667736664015019,204.041522,22.656121,0.004,0.004,90,3,0,0,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,3,SDSS J133609.96+223922.0,,53439.4147
0.062562,1442194870616750976,204.04150434507554,22.65612142652159,11.573190464723996,78.92114783254591,-0.0901528128610084,0.1501675,-0.10190076630603044,0.0842566,0.05902500363431035,0.15353355,18.406137,817.5073210241001,1.193501,18.769125,17.849545,0.91958046,2016.0,1237667910064013506,204.041515,22.656136,0.003,0.003,0,3,6,0,0.003,0.003,19.589,18.918,18.361,18.194,18.032,0.030,0.009,0.008,0.009,0.019,,,,,,,,,,,,,,,3,SDSS J133609.96+223922.0,,53462.2292
0.062562,1442194870616750976,204.04150434507554,22.65612142652159,11.573190464723996,78.92114783254591,-0.0901528128610084,0.1501675,-0.10190076630603044,0.0842566,0.05902500363431035,0.15353355,18.406137,817.5073210241001,1.193501,18.769125,17.849545,0.91958046,2016.0,1237667910064013507,204.041515,22.656136,0.003,0.003,0,1,6,1,0.003,0.003,19.589,18.918,18.361,18.194,18.032,0.030,0.009,0.008,0.009,0.019,,,,,,-0.11,-2.77,3.02,3.02,93.53,207.97,,,,3,SDSS J133609.96+223922.0,,53462.2292
0.070170,1442194870616750976,204.04150434507554,22.65612142652159,11.573190464723996,78.92114783254591,-0.0901528128610084,0.1501675,-0.10190076630603044,0.0842566,0.05902500363431035,0.15353355,18.406137,817.5073210241001,1.193501,18.769125,17.849545,0.91958046,2016.0,1237667910064078954,204.041520,22.656134,0.003,0.003,0,3,6,0,0.003,0.003,19.566,18.921,18.358,18.196,18.034,0.031,0.009,0.008,0.009,0.021,,,,,,,,,,,,,,,3,SDSS J133609.96+223922.0,,53462.2296
0.086306,1442194870616750976,204.04150434507554,22.65612142652159,11.573190464723996,78.92114783254591,-0.0901528128610084,0.1501675,-0.10190076630603044,0.0842566,0.05902500363431035,0.15353355,18.406137,817.5073210241001,1.193501,18.769125,17.849545,0.91958046,2016.0,1237667910064013505,204.041524,22.656137,0.003,0.003,0,3,6,0,0.003,0.003,19.585,18.916,18.355,18.191,18.036,0.031,0.009,0.008,0.009,0.021,,,,,,,,,,,,,,,3,SDSS J133609.96+223922.0,,53462.2292
0.033042,1456663623301749760,204.67974485144268,31.27052610469409,57.62333443876326,78.88945036870751,0.34273242644576846,0.36065218,0.06420316637843068,0.31617805,-0.488781140805916,0.5147672,18.314775,889.2753923175229,3.5501428,16.055676,14.649254,1.4064217,2016.0,1237665227312791581,204.679738,31.270533,0.002,0.002,0,3,3,0,0.002,0.002,16.212,14.349,13.506,13.084,14.436,0.009,0.002,0.002,0.002,0.007,,,,,,,,,,,,,,,3,SDSS J133843.13+311613.9,,53120.3796
0.033049,1456663623301749760,204.67974485144268,31.27052610469409,57.62333443876326,78.88945036870751,0.34273242644576846,0.36065218,0.06420316637843068,0.31617805,-0.488781140805916,0.5147672,18.314775,889.2753923175229,3.5501428,16.055676,14.649254,1.4064217,2016.0,1237665227312791582,204.679738,31.270533,0.002,0.002,0,1,3,1,0.002,0.002,16.229,14.364,13.517,13.096,12.778,0.009,0.002,0.002,0.002,0.003,0.01568,0.00001,0,GALAXY,AGN,0.00,0.00,0.00,0.00,0.00,0.00,0.0239,0.0073,0.0307,3,SDSS J133843.13+311613.9,2094-53851-0374,53120.3796
0.110922,1442208511433499776,203.515336867826,22.3965057701033,9.1831321077469,79.23518767768385,-0.035101551404985304,0.09250287,0.06845591639531694,0.060055003,-0.08531838143546006,0.08970855,17.542141,1811.7156335848063,2.840826,17.75002,17.161777,0.5882416,2016.0,1237667783915995144,203.515369,22.396515,0.003,0.003,0,1,6,1,0.003,0.003,18.208,17.930,17.834,17.612,17.611,0.014,0.006,0.006,0.007,0.016,1.69038,0.00015,0,QSO,BROADLINE,-0.24,-0.09,2.50,2.50,87.49,97.98,,,,3,SDSS J133403.68+222347.4,5861-56069-0742,53441.3625
